Time Stamp,X_Acc,Y_Acc,Z_Acc,X_Orient,Y_Orient,Z_Orient
'21-Oct-2021 12:25:34.621',0.735494,-9.274581,3.055036,25.589556,73.378689,-7.359441
'21-Oct-2021 12:25:34.640',0.790529,-9.330812,3.252743,25.569655,73.592085,-7.182242
'21-Oct-2021 12:25:34.659',0.381057,-9.276974,3.118446,25.762495,73.816218,-7.261154
'21-Oct-2021 12:25:34.678',-0.030508,-9.27817,2.885146,26.107601,74.028705,-7.492027
'21-Oct-2021 12:25:34.697',0.048455,-9.368199,3.422634,26.369006,74.263288,-7.467679
'21-Oct-2021 12:25:34.716',0.220738,-9.413663,4.168297,26.532514,74.576882,-7.138334
'21-Oct-2021 12:25:34.735',0.323629,-9.392128,4.356133,26.742532,74.898181,-6.859208
'21-Oct-2021 12:25:34.754',0.49023,-9.445967,4.028317,26.9383,75.111904,-6.835812
'21-Oct-2021 12:25:34.773',0.751047,-9.562018,3.895515,27.04243,75.207049,-7.016905
'21-Oct-2021 12:25:34.792',0.929312,-9.581161,4.141976,27.165317,75.253009,-7.27246
'21-Oct-2021 12:25:34.811',1.111466,-9.490233,4.418646,27.451471,75.309638,-7.525838
'21-Oct-2021 12:25:34.830',1.338784,-9.424431,4.543073,27.846697,75.343386,-7.595118
'21-Oct-2021 12:25:34.849',1.423729,-9.340384,4.769195,28.281312,75.309276,-7.461329
'21-Oct-2021 12:25:34.868',1.288535,-9.257831,4.839783,28.839555,75.214344,-7.365738
'21-Oct-2021 12:25:34.887',1.306481,-9.203992,4.696214,29.52643,75.034382,-7.291583
'21-Oct-2021 12:25:34.906',1.548156,-9.357432,4.51077,30.19767,74.74692,-6.969591
'21-Oct-2021 12:25:34.925',1.598705,-9.530911,4.485645,31.005101,74.373616,-6.540973
'21-Oct-2021 12:25:34.944',1.359123,-9.643374,4.748856,32.164604,73.941128,-6.311382
'21-Oct-2021 12:25:34.963',1.410569,-9.907782,5.347361,33.48018,73.442504,-6.122325
'21-Oct-2021 12:25:34.982',1.99711,-10.417751,6.309873,34.669535,72.84213,-5.628198
'21-Oct-2021 12:25:35.001',2.497509,-10.754242,6.284749,35.840967,72.068051,-5.004856
'21-Oct-2021 12:25:35.020',2.239084,-10.738688,5.667101,37.496373,70.961916,-4.929663
'21-Oct-2021 12:25:35.039',1.614258,-10.583156,5.065007,39.681582,69.527132,-5.6315
'21-Oct-2021 12:25:35.058',1.774577,-10.535299,5.193023,41.865443,67.88051,-6.494883
'21-Oct-2021 12:25:35.077',2.542972,-10.550853,5.737689,43.644793,66.115487,-6.857074
'21-Oct-2021 12:25:35.096',2.927319,-10.495817,5.462216,45.279537,64.222944,-6.902042
'21-Oct-2021 12:25:35.115',2.538187,-10.384252,4.695017,47.081242,62.099117,-7.130694
'21-Oct-2021 12:25:35.134',1.998306,-10.180862,4.424628,49.023799,59.774926,-7.59312
