Time Stamp,X_Acc,Y_Acc,Z_Acc,X_Orient,Y_Orient,Z_Orient
'04-Oct-2021 17:47:21.815',-2.705444,-6.167465,7.369354,-78.981473,32.58395,12.783541
'04-Oct-2021 17:47:21.824',-2.719818,-6.162674,7.45076,-79.885223,32.188882,12.587224
'04-Oct-2021 17:47:21.833',-2.738968,-6.057327,7.513,-80.779397,31.789203,12.402575
'04-Oct-2021 17:47:21.842',-2.738968,-6.028595,7.503433,-81.695053,31.386639,12.2492
'04-Oct-2021 17:47:21.851',-2.676712,-6.095642,7.484268,-82.60762,30.98572,12.132642
'04-Oct-2021 17:47:21.860',-2.619263,-6.114792,7.431595,-83.54464,30.589631,12.049169
'04-Oct-2021 17:47:21.869',-2.576157,-6.095642,7.465118,-84.491878,30.196932,11.983547
'04-Oct-2021 17:47:21.878',-2.59053,-6.06691,7.474701,-85.457831,29.805047,11.914665
'04-Oct-2021 17:47:21.887',-2.657562,-5.899307,7.541733,-86.425,29.413339,11.825211
'04-Oct-2021 17:47:21.896',-2.724594,-5.803543,7.584824,-87.409947,29.025975,11.709462
'04-Oct-2021 17:47:21.905',-2.700653,-5.71257,7.613556,-88.382757,28.6456,11.566094
'04-Oct-2021 17:47:21.914',-2.595322,-5.674255,7.733276,-89.385709,28.272045,11.401047
'04-Oct-2021 17:47:21.923',-2.422928,-5.683838,7.852982,-90.352891,27.902066,11.22942
'04-Oct-2021 17:47:21.932',-2.250549,-5.659897,7.920013,-91.355262,27.529783,11.063592
'04-Oct-2021 17:47:21.941',-2.164352,-5.645523,7.982269,-92.311653,27.146834,10.917079
'04-Oct-2021 17:47:21.950',-2.173935,-5.583282,7.991852,-93.294203,26.751179,10.800449
'04-Oct-2021 17:47:21.959',-2.298431,-5.501877,7.987061,-94.237848,26.348964,10.705294
'04-Oct-2021 17:47:21.968',-2.398987,-5.41568,7.953537,-95.228669,25.947417,10.613417
'04-Oct-2021 17:47:21.977',-2.446869,-5.324707,7.881714,-96.223118,25.549817,10.501371
'04-Oct-2021 17:47:21.986',-2.427719,-5.262451,7.920013,-97.244306,25.161413,10.360598
'04-Oct-2021 17:47:21.995',-2.384628,-5.205002,7.96312,-98.25973,24.782341,10.205538
'04-Oct-2021 17:47:22.004',-2.2314,-5.171478,7.977478,-99.299824,24.41036,10.056577
'04-Oct-2021 17:47:22.013',-2.078171,-5.123596,7.967911,-100.320275,24.046642,9.929464
'04-Oct-2021 17:47:22.022',-1.915359,-5.075714,8.082825,-101.352788,23.692314,9.834404
'04-Oct-2021 17:47:22.031',-1.742981,-5.008667,8.087616,-102.345692,23.346714,9.777895
'04-Oct-2021 17:47:22.040',-1.656784,-4.932053,8.159439,-103.357742,23.003975,9.758431
'04-Oct-2021 17:47:22.049',-1.714249,-4.869812,8.173798,-104.361834,22.658019,9.766061
'04-Oct-2021 17:47:22.058',-1.843536,-4.855438,8.140289,-105.363516,22.311815,9.788558
'04-Oct-2021 17:47:22.067',-2.025497,-4.845871,8.192963,-106.360239,21.963435,9.810342
'04-Oct-2021 17:47:22.076',-2.121262,-4.826706,8.250412,-107.387711,21.609638,9.816091
'04-Oct-2021 17:47:22.085',-2.121262,-4.812347,8.307877,-108.433242,21.249996,9.801595
'04-Oct-2021 17:47:22.094',-2.020706,-4.774033,8.355759,-109.498089,20.885438,9.772466
'04-Oct-2021 17:47:22.103',-1.819595,-4.707001,8.451538,-110.573837,20.515952,9.728025
'04-Oct-2021 17:47:22.112',-1.594543,-4.596863,8.523361,-111.635118,20.138219,9.657243
'04-Oct-2021 17:47:22.121',-1.42215,-4.48674,8.580826,-112.66686,19.751859,9.557598
'04-Oct-2021 17:47:22.130',-1.345535,-4.405334,8.643066,-113.674743,19.354782,9.43265
'04-Oct-2021 17:47:22.139',-1.355118,-4.362228,8.686157,-114.647266,18.947592,9.280824
'04-Oct-2021 17:47:22.148',-1.38385,-4.352661,8.628708,-115.615172,18.53464,9.102453
'04-Oct-2021 17:47:22.157',-1.350327,-4.280838,8.623917,-116.611055,18.121489,8.899247
'04-Oct-2021 17:47:22.166',-1.273712,-4.199432,8.690948,-117.571188,17.709453,8.684382
'04-Oct-2021 17:47:22.175',-1.168365,-4.15155,8.777145,-118.5168,17.307807,8.486655
'04-Oct-2021 17:47:22.184',-1.091751,-4.113235,8.887283,-119.487671,16.922905,8.337077
'04-Oct-2021 17:47:22.193',-1.034302,-4.041412,9.045288,-120.478062,16.553129,8.255503
'04-Oct-2021 17:47:22.202',-0.981628,-3.99353,9.126694,-121.458003,16.191184,8.245743
'04-Oct-2021 17:47:22.211',-0.962463,-3.936066,9.174576,-122.430062,15.834486,8.295755
'04-Oct-2021 17:47:22.220',-0.991196,-3.907333,9.18895,-123.361454,15.48158,8.386026
'04-Oct-2021 17:47:22.229',-1.06781,-3.830719,9.160217,-124.300714,15.128833,8.50377
'04-Oct-2021 17:47:22.238',-1.072601,-3.758896,9.145844,-125.233554,14.771843,8.644132
'04-Oct-2021 17:47:22.247',-1.197098,-3.65834,9.088394,-126.144551,14.409884,8.785452
'04-Oct-2021 17:47:22.256',-1.316818,-3.586517,9.006989,-127.027845,14.049166,8.892717
'04-Oct-2021 17:47:22.265',-1.359909,-3.495529,8.983047,-127.903939,13.698305,8.95253
'04-Oct-2021 17:47:22.274',-1.374268,-3.418915,9.088394,-128.78849,13.361511,8.971436
